Plot,Latitude,Longitude
NewSite014,-42.6489532,172.3891779
NewSite015,-42.64774407,172.3913208
NewSite016,-42.6477636,172.3913328
NewSite017,-42.64779213,172.3913487
NewSite018,-42.64785972,172.3913886
NewSite019,-42.64800989,172.3914703
NewSite020,-42.64823979,172.3916222
NewSite021,-42.64878059,172.391888
NewSite022,-42.64902047,172.3880953
NewSite023,-42.64904544,172.3880765
NewSite024,-42.64907207,172.388049
NewSite025,-42.64912974,172.3879819
NewSite026,-42.64926077,172.3878627
NewSite027,-42.64942675,172.3876041
NewSite028,-42.64982133,172.3869738
NewSite029,-42.58763579,172.4300833
NewSite030,-42.57533996,172.4643386
NewSite031,-42.57532362,172.4643412
NewSite032,-42.57528737,172.4643429
NewSite033,-42.57521709,172.4643459
NewSite034,-42.57507062,172.4643555
NewSite035,-42.5748027,172.4643753
NewSite036,-42.57420237,172.46443
NewSite037,-42.57314383,172.4645234
NewSite038,-42.57077937,172.464835
NewSite039,-42.5675091,172.4685215
NewSite040,-42.58764779,172.4300712
NewSite041,-42.58766224,172.4300554
NewSite042,-42.58768679,172.4300266
NewSite043,-42.58773946,172.4299524
NewSite044,-42.58784499,172.4298136
NewSite045,-42.5880342,172.429541
NewSite046,-42.5883267,172.4289644
NewSite047,-42.58838656,172.4271834
NewSite048,-42.58890868,172.4241721
NewSite049,-42.59041029,172.4193609
NewSite050,-42.64285872,172.3673646
NewSite051,-42.64287055,172.367377
NewSite052,-42.64288511,172.3673936
NewSite053,-42.64291254,172.3674262
NewSite054,-42.64296554,172.3674935
NewSite055,-42.64284271,172.3673473
NewSite056,-42.64282773,172.3673325
NewSite057,-42.6427999,172.3673051
NewSite058,-42.64274797,172.3672524
NewSite059,-42.62080211,172.3491023
NewSite060,-42.6208007,172.3491212
NewSite061,-42.62079994,172.3491475
NewSite062,-42.62079992,172.3491969
NewSite063,-42.6208007,172.3492897
NewSite064,-42.62080195,172.3495061
NewSite065,-42.62080924,172.3498788
NewSite066,-42.62082268,172.3506521
NewSite067,-42.62085687,172.3521846
NewSite068,-42.62080307,172.3490813
NewSite069,-42.62080352,172.3490598
NewSite070,-42.62080328,172.3490185
NewSite071,-42.62080276,172.348929
NewSite072,-42.62079849,172.3487397
NewSite073,-42.62079868,172.348338
NewSite074,-42.62081359,172.3475682
NewSite075,-42.62083785,172.3460992
NewSite076,-42.64158186,172.3845438
NewSite077,-42.64158714,172.3845684
NewSite078,-42.64159154,172.3845939
NewSite079,-42.64159896,172.3846435
NewSite080,-42.64157727,172.3845203
NewSite081,-42.64157145,172.3844958
NewSite082,-42.64155918,172.3844487
NewSite090,-42.61610404,172.4496997
NewSite091,-42.61610274,172.4497284
NewSite092,-42.61609944,172.4497613
NewSite093,-42.6160962,172.4498082
NewSite094,-42.61608802,172.4499199
NewSite095,-42.6160614,172.4501165
NewSite096,-42.61598092,172.4504665
NewSite097,-42.61585079,172.4511783
NewSite098,-42.61538902,172.4527355
NewSite099,-42.61458688,172.4555254
NewSite100,-42.61435169,172.4601772
NewSite101,-42.61610249,172.4496784
NewSite102,-42.61610124,172.4496581
NewSite103,-42.61610215,172.4496081
NewSite104,-42.61609937,172.4495273
NewSite105,-42.61609366,172.4493419
NewSite106,-42.61605007,172.4489929
NewSite107,-42.61593152,172.448167
NewSite108,-42.61595369,172.4465095
NewSite109,-42.61581684,172.4436646
NewSite110,-42.61501876,172.43855
NewSite111,-42.64351603,172.348906
NewSite112,-42.64444684,172.3452729
NewSite113,-42.64446411,172.3452737
NewSite114,-42.64450278,172.3452723
NewSite115,-42.64458356,172.3452668
NewSite116,-42.64472214,172.3452484
NewSite117,-42.64503513,172.3451542
NewSite118,-42.6455395,172.3448897
NewSite119,-42.64564839,172.3428937
NewSite120,-42.64568869,172.3397023
NewSite121,-42.6464186,172.333996
NewSite122,-42.6435089,172.3489256
NewSite123,-42.64349837,172.3489481
NewSite124,-42.64348165,172.3489889
NewSite125,-42.6434444,172.3490812
NewSite126,-42.64336599,172.3492266
NewSite127,-42.6431995,172.3495384
NewSite128,-42.64291022,172.3501752
NewSite129,-42.64243881,172.3513313
NewSite130,-42.64240896,172.354518
NewSite131,-42.64223676,172.3595486
NewSite172,-42.64625371,172.3589348
NewSite173,-42.64623264,172.3589267
NewSite174,-42.64621291,172.3589175
NewSite175,-42.64618504,172.3589037
NewSite176,-42.64613162,172.3588729
NewSite177,-42.6459855,172.3588273
NewSite178,-42.64572479,172.3587756
NewSite179,-42.64627365,172.3589368
NewSite180,-42.64629538,172.3589425
NewSite181,-42.64633013,172.3589461
NewSite182,-42.64639822,172.3589591
NewSite183,-42.64653291,172.3589812
NewSite184,-42.64684046,172.3590593
NewSite211,-42.6431167,172.3632628
NewSite212,-42.64311777,172.3632812
NewSite213,-42.64311695,172.3633075
NewSite214,-42.64312015,172.3633588
NewSite215,-42.64312178,172.3634746
NewSite216,-42.64312644,172.3636636
NewSite217,-42.64311752,172.3632365
NewSite218,-42.64311639,172.3632075
NewSite219,-42.64311512,172.3631549
NewSite220,-42.64311459,172.3630615
NewSite221,-42.64311738,172.3628667
NewSite222,-42.64034266,172.3927382
NewSite223,-42.64034606,172.392762
NewSite224,-42.64034988,172.3927841
NewSite225,-42.64033908,172.3927152
NewSite226,-42.64033635,172.3926933
NewSite227,-42.64690277,172.3797381
NewSite228,-42.64689993,172.379761
NewSite229,-42.64689565,172.379787
NewSite230,-42.64688982,172.3798399
NewSite231,-42.64690703,172.3797122
NewSite232,-42.64691101,172.379685
NewSite233,-42.64691921,172.3796337
