Plot,Proeltis virscens,Cs sp.2,Ctena sp.4,Eaea sp.,Meslon sp.1,Ptiae sp.1,Mellma sp.4,Mphthalma sp.6,Alenae sp.12,Seriilus ada,Cotra zeaicum,Nrius sp.4,Scretus nr. anis,Dtes sp.1
NewSite014,0,1,2,0,1,20,23,2,0,2,8,0,4,6
NewSite015,0,0,0,1,2,7,19,2,0,0,0,2,2,0
NewSite016,0,0,0,0,0,6,2,0,0,0,0,2,0,0
NewSite017,0,0,0,0,2,2,5,1,0,0,0,9,0,0
NewSite018,0,1,0,2,0,1,12,0,0,1,1,4,0,0
NewSite019,0,2,0,0,0,2,24,5,0,0,0,2,0,0
NewSite020,2,3,0,1,1,16,37,0,1,0,0,1,0,0
NewSite021,0,1,0,2,0,3,9,0,0,0,0,3,1,0
NewSite022,1,0,2,0,0,5,2,1,0,1,23,0,3,2
NewSite023,0,1,5,0,0,0,0,0,0,1,20,0,1,2
NewSite024,0,0,0,0,0,1,0,0,0,0,11,0,4,4
NewSite025,0,0,0,0,0,0,0,0,0,0,2,0,2,1
NewSite026,0,0,0,0,1,0,0,0,0,0,9,0,1,1
NewSite027,0,0,0,0,0,0,0,0,0,0,7,0,1,0
NewSite028,0,0,0,0,0,0,0,0,0,0,2,0,0,0
NewSite029,0,0,0,0,0,2,0,1,0,0,0,1,0,0
NewSite030,0,0,0,0,14,1,33,16,0,6,0,1,0,0
NewSite031,0,0,1,8,3,0,15,23,0,5,0,0,0,0
NewSite032,0,1,1,6,1,0,54,12,0,2,0,0,0,0
NewSite033,0,0,0,11,0,0,30,8,0,3,0,2,0,0
NewSite034,0,1,0,1,7,0,37,6,0,10,0,0,0,0
NewSite035,0,0,0,9,1,0,60,12,0,20,0,1,0,0
NewSite036,0,2,0,7,10,2,23,32,0,14,0,1,0,0
NewSite037,0,0,0,3,2,0,22,11,0,1,0,0,0,0
NewSite038,2,0,0,26,0,0,44,6,0,1,1,0,0,0
NewSite039,0,5,0,5,1,0,136,22,1,0,0,0,0,0
NewSite040,0,0,1,0,0,0,6,2,0,0,0,1,0,3
NewSite041,0,0,2,0,0,1,0,1,0,0,2,0,0,1
NewSite042,0,0,8,0,0,0,0,0,0,0,1,1,0,2
NewSite043,0,0,2,0,0,0,2,0,0,0,0,0,0,3
NewSite044,0,0,8,0,0,0,0,0,0,0,2,0,0,11
NewSite045,0,0,20,0,0,0,0,0,0,0,1,0,1,4
NewSite046,0,0,35,0,0,0,0,0,0,0,2,0,0,2
NewSite047,0,0,1,0,0,0,0,0,0,0,1,0,0,0
NewSite048,0,0,0,0,1,0,0,2,0,0,6,0,0,16
NewSite049,0,0,0,0,0,0,0,0,0,0,6,0,0,29
NewSite050,0,0,6,0,0,1,3,0,0,0,2,0,1,2
NewSite051,0,0,1,0,1,8,2,2,4,0,1,8,0,1
NewSite052,0,0,1,0,1,4,0,0,3,0,5,1,2,0
NewSite053,0,0,2,0,0,5,0,1,2,0,0,5,0,1
NewSite054,2,0,0,0,0,0,1,0,3,1,0,3,1,0
NewSite055,0,0,5,0,0,0,0,0,0,0,1,4,0,8
NewSite056,0,0,4,0,0,0,0,0,0,0,0,0,0,4
NewSite057,0,0,5,0,0,0,0,0,0,1,0,0,2,5
NewSite058,0,0,9,0,0,0,0,0,0,0,1,0,0,9
NewSite059,0,0,0,0,0,13,6,2,0,0,0,3,11,1
NewSite060,1,0,0,0,0,3,9,6,0,0,0,1,1,1
NewSite061,0,0,0,0,0,24,14,11,0,0,0,1,0,0
NewSite062,1,1,0,0,0,4,30,11,0,0,0,0,0,0
NewSite063,0,2,0,1,0,25,20,22,0,0,0,0,0,0
NewSite064,0,0,0,0,1,5,6,9,0,0,0,2,0,0
NewSite065,0,4,0,1,1,0,5,34,0,0,0,2,0,0
NewSite066,0,2,0,0,14,3,30,25,0,0,0,1,0,0
NewSite067,1,0,0,0,0,0,5,7,0,0,0,0,0,0
NewSite068,0,0,0,0,0,1,1,1,0,0,0,0,5,4
NewSite069,0,0,0,0,0,1,2,0,0,0,0,0,2,9
NewSite070,0,1,2,0,0,0,1,0,0,0,0,0,7,9
NewSite071,0,0,1,0,0,0,0,0,0,0,0,0,1,11
NewSite072,0,1,3,0,0,0,0,0,0,0,0,0,0,6
NewSite073,0,0,2,0,0,0,0,0,0,0,0,0,0,3
NewSite074,0,0,2,0,0,0,0,0,0,0,0,0,0,9
NewSite075,0,0,8,0,0,0,1,0,0,0,0,0,0,3
NewSite076,0,0,1,0,0,0,0,0,0,0,1,0,0,1
NewSite077,0,0,0,0,1,4,0,0,0,0,0,0,0,0
NewSite078,0,0,0,0,0,1,1,0,0,0,1,1,0,0
NewSite079,0,1,0,0,1,5,3,0,0,0,2,0,0,0
NewSite080,0,0,0,0,0,1,0,0,0,0,0,0,0,1
NewSite081,0,0,3,0,0,1,0,0,0,0,1,0,0,7
